resp_no,branch,profess,gender,educatio,loy1_1,loy2_1,loy3_1,loy4_1,loy5_1,loy6_1,val1_1,val2_1,val3_1,sat1_1,sat2_1,sat3_1,sav_1,loans_1,long_1,age_1,income_1,CLV
440,2,1,2,4,7,6,4,4,6,6,9,9,10,7,7,10,99,70,24,45,5,6586.141841
449,2,3,1,3,7,7,7,7,7,7,1,2,2,3,8,3,64.94316832,75,60,29,2,7156.620933
450,1,12,2,3,7,7,2,7,7,7,10,10,10,7,7,10,100,100,24,65,2,5530.110533
452,5,3,2,3,5,3,4,4,6,6,8,8,8,5,5,8,2,52.90401425,36,58,3,2795.748168
454,3,1,2,4,7,4,5,6,7,7,10,10,10,7,5.811797753,8.184135977,5,52.90401425,31.20780142,54,3,2926.575456
455,2,3,2,4,6,3,4,4,7,7,10,9,9,7,7,10,50,52.90401425,24,51,5,8131.695399
459,4,1,2,2,7,6,6,3,7,6,6,6,8,6,6,8,64.94316832,75,24,42,5,3900.239838
460,3,1,2,4,7,5,5,5,6,6,9,7,8,5,5,7,80,15,12,44,2,3999.973141
463,5,3,1,3,3,2,4,6,5,4,5,6,6,5,5,7,50,52.90401425,24,52,5,4464.600855
468,2,1,2,4,7,6,5,3,7,7,10,10,10,6,7,10,30,52.90401425,78,53,2,4528.184169
470,1,1,2,3,6,4,6,6,7,6,10,10,10,5,5,9,50,52.90401425,12,46,2,4873.757058
472,3, ,1,2,3,3,3,4,4,4,5,5,5,3,3,5,50,52.90401425,24,39,3,5229.574298
476,5,3,1,2,7,4,6,5,7,6,8,8,8,8,8,2,100,52.90401425,12,45.13924051,3,3233.738399
480,5,1,1,4,2,2,2,3,5,3,4,7,7,5,5,8,33,52.90401425,15,61,4,7739.866596
483,1, ,2,2,7,4,7,4,7,7,10,9,10,7,7,10,50,50,12,53,2,8550.201927
490,6,3,1,2,7,5,4,4,7,7,9,10,10,7,7,10,10,52.90401425,24,53,3,4131.951474
494,1,3,2,3,7,4,4,7,7,7,10,10,10,7,7,10,0.5,0.1,60,50,2,4772.901913
496,1,3,2,2,5,4,5,4,6,6,4,6,7,5,5,7,80,52.90401425,12,36,2,3861.565257
499,5,1,1,3,7,4,2,6,6,7,8,10,9,6,6,9,100,100,78,38,4,21165.49188
507,3,3,2,3,7,4,1,4,7,7,10,8,10,7,7,10,100,50,78,48,3,3508.284643
508,3,2,2,3,7,4,4,5,6,7,9,9,9,9,5.811797753,8.184135977,100,52.90401425,36,79,1,5048.500715
510,5,3,1,2,7,4,6,6,7,7,9,9,9,9,9,1,100,52.90401425,12,45,2,4156.253849
516,5,1,1,4,6,5,3,5,6,5,8,8,8,7,7,10,5,20,6,36,3,6216.084144
517,4,3,1,3,4,3,2,4,4,5,4,5,6,6,5,5,50,100,36,45.13924051,3,4553.101819
519,5,2,1,4,7,1,2,4,7,7,10,10,10,7,7,10,100,52.90401425,24,62,5,3105.942007
520,5,1,2,5,7,3,5,7,7,7,10,10,10,7,7,10,100,52.90401425,18,58,4,4329.037202
521,3,2,2,4,6,4,5,4,6,5,6,7,7,6,6,8,100,52.90401425,18,62,3,2795.748168
523,1,3,2,2,6,2,2,4,6,6,5,2,7,5.957839262,7,8.184135977,100,52.90401425,24,56,4,3508.284643
525,1,3,2,2,7,4,4,5,7,6,10,10,9,7,7,10,50,50,12,44,2,11676.69915
526,5,1,2,2,6,3,4,3,3,4,5,6,5,7,7,10,5,50,36,45.13924051,3,4360.617114
527,4, ,2,3,7,5,4,3,7,6,8,9,9,7,7,10,98,1,24,48,3,4930.568729
531,1,3,2,3,7,1,3,5,6,7,7,7,7,1,5.811797753,8.184135977,100,52.90401425,24,25,3,3978.397808
535,2,2,1,4,7,7,5,4,4,7,9,9,10,7,7,10,50,75,120,45.13924051,3,4127.644161
536,5,1,2,3,7,6,5,5,4,6,9,9,9,6,6,9,80,100,31.20780142,45.13924051,2,3402.024174
537,4,2,2,3,7,5,5,4,7,4,7,5,7,2,5.811797753,8.184135977,50,50,6,62,3,3274.675616
541,6,3,1,5,6,5,4,5,5,5,5,5,7,6,6,9,100,10,24,52,3,4248.92621
546,5,3,2,3,7,6,4,6,7,7,10,9,9,7,7,10,10,20,12,36,3,7359.188637
558,4, ,2,3,7,4,4,6,7,7,9,10,10,7,7,10,20,52.90401425,36,52,1,9730.48441
560,1, ,2,2,7,1,7,4,7,7,5,10,10,7,7,10,50,1,12,45.13924051,4,4525.00954
562,1, ,1,2,6,1,3,2,7,5,10,8,9,5,5,7,100,20,30,45,2,5355.724285
564,2,1,1,4,7,1,4,2,7,7,7.908496732,10,9,7,7,10,100,30,24,45.13924051,4,6746.674372
571,1,3,2,3,5,2,2,4,4,4,5,5,6,5,5,6,50,50,24,61,3,8628.969714
572,1, ,1,3,6,3,4,2,5,4,10,10,8,4,4,6,100,52.90401425,3,45.13924051,3,11083.35906
580,2,1,2,4,6,4,2,5,6,6,8,8,8,5,5.811797753,8.184135977,1,25,24,46,5,11294.86222
583,4, ,2,3,7,4,6,3,6,5,7,8,9,6,6,9,10,52.90401425,24,28,2,4566.185628
584,2,3,2,2,7,7,7,7,7,7,10,10,10,7,7,10,100,52.90401425,36,37,3,4558.724664
589,2,2,1,4,7,1,1,4,7,7,4,8,10,7,7,10,60,52.90401425,24,60,4,4134.769128
591,1,1,1,4,7,5,4,5,6,6,8,8,9,5,5,8,10,10,23,52,5,12166.31403
592,3,1,1,4,6,4,5,4,7,7,7,8,9,6,6,2,20,52.90401425,78,50,3,2795.748168
593,2,1,1,5,6,2,4,4,6.070773263,6,8,7,8,6,6,8,25,52.90401425,24,51,3,3763.289776
594,5,1,2,3,6,4,2,5,7,7,6,6,8,9,5.811797753,8.184135977,90,52.90401425,24,45,2,3741.001583
595,4,3,2,4,7,5,7,3,7,7,10,10,10,7,7,10,100,100,78,51,3,6567.337849
596,3,1,2,4,7,6,5,5,6,5,8,8,9,6,6,9,100,15,28,45.13924051,2,9912.943626
598,4,3,2,3,7,3,4,5,7,7,8,5,9,7,5.811797753,8.184135977,100,100,78,43,3,3485.857259
604,4, ,1,3,7,6,6,5,7,7,9,9,9,6,7,8,100,30,36,26,4,8734.455471
605,1, ,1,3,6,5,6,3,7,5,8,9,9,7,7,10,100,52.90401425,31.20780142,30,3,4151.230896
610,4,3,1,4,6,4,4,4,6,6,7,8,8,5,5,7,1,52.90401425,24,55,3,4717.694819
612,5,1,2,3,6,4,4,4,6,6,9,9,9,6,6,9,64.94316832,52.90401425,31.20780142,54,3,2795.748168
613,5,1,2,3,7,4,6,5,7,6,8,8,9,7,7,1,85,55,25,54,4,5772.640893
616,1,3,2,4,7,5,4,7,6,7,10,10,10,7,7,10,90,95,24,25,2,6414.427422
624,4,1,1,4,7,5,4,3,6,7,9,9,10,5,5,9,100,52.90401425,48,45.13924051,3,6459.107037
625,4,2,2,4,6,3,4,4,6,5,8,8,8,5,5,8,100,52.90401425,15,45.13924051,2,4766.800531
626,1,2,1, ,6,6,7,5,7,5,9,8,8,6,5,8,50,100,1,59,3,3591.174474
629,1,1,1,3,7,6,4,4,7,7,9,9,9,6,6,9,5,52.90401425,60,59,4,5060.398119
637,5,1,1,4,7,3,3,5,5,5,6,6,7,5,5,7,80,52.90401425,24,45.13924051,4,7221.809319
654,1,3,1,2,4,2,3,4,4,4,5,5,4,4,3,7,40,52.90401425,36,35,3,7801.868617
660,5,1,1,4,6,1,1,4,7,6,6,6,8,5,5,7,64.94316832,10,42,60,5,6814.547409
667,3,3,2,4,5,4,3,4,6,5,7,7,8,6,5,8,100,20,24,26,1,1228.644327
670,5,3,2,5,4,3,4,3,3,3,7,7,7,5,5,7,100,52.90401425,24,35,2,5732.329121
683,4,1,2,4,5,4,4,4,6,4,7,7,7,5,5,8,100,52.90401425,12,29,2,4453.25783
686,2,3,2,3,7,4,1,4,7,6,7,7,7,5,5,7,80,52.90401425,24,34,3,8209.31465
694,1, ,1,2,6,1,4,6,6,6,8,8,9,6,6,9,100,20,6,19,1,5430.960616
696,1,3,1,5,4,1,1,7,4,4,5,10,3,1,3,5,50,52.90401425,12,24,2,5224.357424
699,5,1,2,3,6,4,2,5,5,5,8,7,7,6,6,8,15,25,12,57,3,12962.28671
700,1, ,2,0,7,5,6,5,6,6,9,9,9,6,5,7,100,52.90401425,10,45.13924051,3,3778.122965
714,4,3,2, ,4,4,4,4,4,4,6,6,6,3,3,5,100,52.90401425,8,76,3,5910.845486
716,4, ,1,3,7,1,3,7,7,7,8,10,9,7,7,10,100,40,36,30,2,2717.582671
717,3,3,2,2,7,6,3,6,7,7,9,9,9,6,6,9,80,52.90401425,48,29,3,6001.014592
718,1,3,2,3,5,3,2,4,6,6,7,7,7,8,8,7,100,100,7,24,2,4691.448088
719,4,3,1,2,5,5,5,4,5,5,7,6,7,8,8,2,100,52.90401425,78,45.13924051,4,6042.091309
720,1,1,1,3,6,6,6,6,6,6,9,8,8,6,5,8,80,100,6,30,2,6313.271666
722,4, ,2,1,4,2,2,4,5,4,8,7,8,5,5,8,70,100,60,24,1,5686.70239
